time,open,high,low,close,Volume,Volume MA
1675755900,21340,21363,21336,21362,826,NaN
1675756200,21360,21379,21347,21351,1762,NaN
1675756500,21351,21365,21340,21365,870,NaN
1675756800,21363,21369,21351,21361,1178,NaN
1675757100,21361,21364,21288,21299,2247,NaN
1675757400,21299,21314,21292,21307,1242,NaN
1675757700,21308,21331,21300,21329,623,NaN
1675758000,21330,21352,21320,21351,629,NaN
1675758300,21350,21365,21338,21344,843,NaN
1675761300,21356,21420,21356,21363,415,NaN
1675761600,21364,21388,21360,21374,204,NaN
1675761900,21376,21380,21372,21373,38,NaN
1675762200,21377,21377,21353,21354,126,NaN
1675762500,21358,21371,21357,21360,108,NaN
1675762800,21363,21368,21355,21368,56,NaN
1675763100,21366,21368,21361,21365,53,NaN
1675763400,21364,21368,21358,21368,43,NaN
1675763700,21367,21367,21353,21365,96,NaN
1675764000,21362,21368,21361,21361,77,NaN
1675764300,21362,21363,21353,21354,38,NaN
1675764600,21353,21358,21342,21351,112,NaN
1675764900,21353,21354,21346,21354,31,NaN
1675765200,21355,21360,21352,21360,34,NaN
1675765500,21361,21368,21359,21367,32,NaN
1675765800,21368,21372,21366,21370,31,NaN
1675766100,21369,21369,21363,21366,18,NaN
1675766400,21364,21364,21352,21352,47,NaN
1675766700,21353,21353,21335,21337,128,NaN
1675767000,21340,21343,21336,21337,32,NaN
1675767300,21339,21339,21330,21331,74,NaN
1675767600,21332,21336,21328,21332,41,NaN
1675767900,21334,21337,21333,21333,16,NaN
1675768200,21332,21332,21324,21327,51,NaN
1675768500,21330,21336,21330,21335,18,NaN
1675768800,21334,21338,21323,21325,67,NaN
1675769100,21325,21330,21325,21329,20,NaN
1675769400,21331,21333,21320,21326,47,NaN
1675769700,21330,21330,21315,21320,43,NaN
1675770000,21322,21326,21313,21317,37,NaN
1675770300,21318,21318,21306,21313,57,NaN
1675770600,21314,21318,21311,21315,16,NaN
1675770900,21316,21317,21307,21307,25,NaN
1675771200,21309,21319,21306,21318,39,NaN
1675771500,21318,21325,21316,21324,30,NaN
1675771800,21324,21326,21323,21324,22,NaN
1675772100,21324,21327,21316,21326,97,NaN
1675772400,21328,21330,21321,21326,43,NaN
1675772700,21327,21327,21318,21318,47,NaN
1675773000,21320,21322,21313,21315,65,NaN
1675773300,21314,21314,21300,21306,77,NaN
1675773600,21306,21310,21301,21303,66,NaN
1675773900,21304,21314,21302,21307,73,NaN
1675774200,21308,21312,21306,21311,67,NaN
1675774500,21311,21317,21307,21317,45,NaN
1675774800,21317,21319,21310,21315,43,NaN
1675775100,21315,21321,21306,21306,98,NaN
1675775400,21305,21308,21296,21305,65,NaN
1675775700,21304,21311,21301,21310,60,NaN
1675776000,21304,21307,21289,21292,64,NaN
1675776300,21291,21299,21289,21293,51,NaN
1675776600,21292,21297,21282,21287,70,NaN
1675776900,21287,21296,21281,21288,99,NaN
1675777200,21291,21295,21288,21290,46,NaN
1675777500,21291,21296,21287,21291,68,NaN
1675777800,21293,21295,21282,21285,68,NaN
1675778100,21288,21290,21279,21287,82,NaN
1675778400,21289,21306,21281,21306,157,NaN
1675778700,21305,21305,21292,21303,69,NaN
1675779000,21300,21300,21287,21287,61,NaN
1675779300,21290,21298,21285,21298,89,NaN
1675779600,21298,21310,21292,21307,95,NaN
1675779900,21307,21310,21296,21308,67,NaN
1675780200,21302,21348,21290,21293,880,NaN
1675780500,21292,21307,21263,21283,528,NaN
1675780800,21285,21324,21284,21310,255,NaN
1675781100,21308,21312,21248,21249,458,NaN
1675781400,21249,21275,21242,21261,289,NaN
1675781700,21260,21269,21232,21237,269,NaN
1675782000,21236,21249,21212,21214,289,NaN
1675782300,21213,21224,21191,21195,346,NaN
1675782600,21190,21199,21177,21195,314,NaN
1675782900,21199,21221,21183,21220,193,NaN
1675783200,21219,21237,21208,21218,299,NaN
1675783500,21215,21218,21192,21198,206,NaN
1675783800,21199,21229,21195,21223,212,NaN
1675784100,21217,21245,21216,21242,169,NaN
1675784400,21243,21250,21228,21247,194,NaN
1675784700,21248,21248,21235,21247,199,NaN
1675785000,21248,21262,21236,21237,202,NaN
1675785300,21238,21246,21229,21246,182,NaN
1675785600,21245,21259,21243,21249,123,NaN
1675785900,21255,21265,21249,21249,140,NaN
1675786200,21249,21252,21227,21233,123,NaN
1675786500,21236,21247,21233,21242,142,NaN
1675786800,21240,21267,21238,21243,243,NaN
1675787100,21243,21243,21222,21224,153,NaN
1675787400,21224,21240,21214,21230,181,NaN
1675787700,21231,21232,21202,21202,185,NaN
1675788000,21203,21209,21193,21200,191,NaN
1675788300,21200,21218,21190,21209,161,NaN
1675788600,21209,21210,21202,21203,29,NaN
1675788900,21203,21204,21187,21187,141,NaN
1675789200,21186,21193,21182,21189,92,NaN
1675789500,21188,21199,21186,21191,99,NaN
1675789800,21191,21203,21191,21203,25,NaN
1675790100,21199,21202,21195,21195,45,NaN
1675790400,21195,21195,21184,21191,49,NaN
1675790700,21191,21196,21180,21189,185,NaN
1675791000,21186,21191,21182,21186,132,NaN
1675791300,21188,21197,21188,21193,114,NaN
1675791600,21192,21250,21191,21237,305,NaN
1675791900,21238,21301,21238,21290,422,NaN
1675792200,21296,21334,21287,21328,293,NaN
1675792500,21327,21364,21315,21331,261,NaN
1675792800,21334,21356,21304,21304,395,NaN
1675793100,21308,21318,21289,21292,133,NaN
1675793400,21293,21298,21250,21250,158,NaN
1675793700,21253,21262,21213,21262,237,NaN
1675794000,21249,21257,21224,21232,158,NaN
1675794300,21235,21250,21184,21184,192,NaN
1675794600,21185,21185,21136,21136,278,NaN
1675794900,21131,21171,21131,21151,248,NaN
1675795200,21154,21173,21137,21143,202,NaN
1675795500,21143,21146,21114,21123,215,NaN
1675795800,21122,21153,21113,21150,167,NaN
1675796100,21154,21173,21152,21156,190,NaN
1675818900,21319,21373,21311,21315,2427,NaN
1675819200,21315,21317,21280,21305,1046,NaN
1675819500,21307,21327,21305,21314,785,NaN
1675819800,21314,21437,21303,21437,4395,NaN
1675820100,21436,21495,21431,21459,3793,NaN
1675820400,21462,21475,21362,21366,3347,NaN
1675820700,21366,21370,21269,21280,3490,NaN
1675821000,21282,21332,21234,21317,3631,NaN
1675821300,21316,21385,21303,21327,2731,NaN
1675821600,21328,21343,21271,21325,2208,NaN
1675821900,21325,21352,21267,21268,2192,NaN
1675822200,21267,21304,21246,21293,1879,NaN
1675822500,21289,21302,21249,21276,1375,NaN
1675822800,21275,21286,21214,21224,2109,NaN
1675823100,21222,21326,21222,21291,2013,NaN
1675823400,21289,21315,21247,21303,1887,NaN
1675823700,21301,21394,21301,21384,2677,NaN
1675824000,21383,21393,21345,21378,1474,NaN
1675824300,21378,21414,21362,21407,1797,NaN
1675824600,21407,21407,21355,21365,1148,NaN
1675824900,21365,21382,21340,21374,1094,NaN
1675825200,21372,21385,21328,21328,948,NaN
1675825500,21328,21347,21308,21346,1185,NaN
1675825800,21345,21383,21329,21380,889,NaN
1675826100,21377,21411,21371,21396,1167,NaN
1675826400,21397,21411,21363,21365,975,NaN
